,pre,stop,vowel,pre_path,stop_path,vowel_path,pre_startTime,pre_endTime,stop_startTime,stop_endTime,vowel_startTime,vowel_endTime,speaker,wuid,phi_type,first_sep_frame,second_sep_frame
20,,K,AH,,4297/13009/0033/4297-13009-0033-0027.flac,4297/13009/0033/4297-13009-0033-0028.flac,1.8085035546194164,,1.89,1.95,1.95,2.0,4297,4297-13009-0033-0007,T,5,8
21,,T,AY,,4481/17499/0034/4481-17499-0034-0102.flac,4481/17499/0034/4481-17499-0034-0103.flac,9.38635991338949,,9.47,9.6,9.6,9.82,4481,4481-17499-0034-0029,T,5,13
22,,P,AH,,4297/13009/0017/4297-13009-0017-0066.flac,4297/13009/0017/4297-13009-0017-0067.flac,6.766925372517072,,6.86,6.96,6.96,7.0,4297,4297-13009-0017-0014,T,5,12
23,,T,AW,,4481/17499/0028/4481-17499-0028-0096.flac,4481/17499/0028/4481-17499-0028-0097.flac,8.074773578729443,,8.14,8.23,8.23,8.38,4481,4481-17499-0028-0024,T,4,9
24,,K,IY,,4297/13009/0033/4297-13009-0033-0142.flac,4297/13009/0033/4297-13009-0033-0143.flac,11.240176263287058,,11.32,11.42,11.42,11.47,4297,4297-13009-0033-0035,T,4,11
25,,T,AH,,4481/17499/0005/4481-17499-0005-0022.flac,4481/17499/0005/4481-17499-0005-0023.flac,2.184854672623364,,2.3,2.34,2.34,2.39,4481,4481-17499-0005-0006,T,7,9
26,,T,AH,,4481/17498/0046/4481-17498-0046-0062.flac,4481/17498/0046/4481-17498-0046-0063.flac,5.376173790833473,,5.46,5.49,5.49,5.52,4481,4481-17498-0046-0016,T,5,7
27,,K,AY,,4297/13009/0016/4297-13009-0016-0182.flac,4297/13009/0016/4297-13009-0016-0183.flac,14.037991095876416,,14.15,14.28,14.28,14.44,4297,4297-13009-0016-0046,T,7,15
28,,K,AO,,4297/13006/0029/4297-13006-0029-0108.flac,4297/13006/0029/4297-13006-0029-0109.flac,9.386947551792762,,9.45,9.56,9.56,9.71,4297,4297-13006-0029-0029,T,3,10
29,,P,AH,,4297/13006/0011/4297-13006-0011-0076.flac,4297/13006/0011/4297-13006-0011-0077.flac,7.519734435468485,,7.6,7.69,7.69,7.73,4297,4297-13006-0011-0023,T,5,10
30,,T,UW,,4297/13009/0006/4297-13009-0006-0067.flac,4297/13009/0006/4297-13009-0006-0068.flac,5.282879688747578,,5.35,5.44,5.44,5.49,4297,4297-13009-0006-0018,T,4,9
31,,T,AY,,909/131044/0004/909-131044-0004-0086.flac,909/131044/0004/909-131044-0004-0087.flac,7.0094793831393725,,7.09,7.18,7.18,7.35,909,909-131044-0004-0023,T,5,10
32,,T,IH,,4481/17499/0008/4481-17499-0008-0065.flac,4481/17499/0008/4481-17499-0008-0066.flac,6.1057062276773415,,6.18,6.24,6.24,6.3,4481,4481-17499-0008-0017,T,4,8
33,,K,AH,,909/131045/0034/909-131045-0034-0112.flac,909/131045/0034/909-131045-0034-0113.flac,9.152265919407798,,9.27,9.38,9.38,9.43,909,909-131045-0034-0030,T,7,14
34,,T,AO,,103/1241/0040/103-1241-0040-0092.flac,103/1241/0040/103-1241-0040-0093.flac,6.873421175057452,,6.93,7.04,7.04,7.16,103,103-1241-0040-0027,T,3,10
35,,P,AA,,4297/13006/0031/4297-13006-0031-0001.flac,4297/13006/0031/4297-13006-0031-0002.flac,0.1359717926324825,,0.22,0.32,0.32,0.38,4297,4297-13006-0031-0000,T,5,11
36,,T,AH,,4297/13006/0014/4297-13006-0014-0008.flac,4297/13006/0014/4297-13006-0014-0009.flac,0.9020767938166948,,0.99,1.06,1.06,1.11,4297,4297-13006-0014-0002,T,5,9
37,,T,UW,,103/1240/0042/103-1240-0042-0019.flac,103/1240/0042/103-1240-0042-0020.flac,1.6535809494539864,,1.73,1.78,1.78,1.85,103,103-1240-0042-0006,T,4,7
38,,P,AH,,909/131044/0012/909-131044-0012-0056.flac,909/131044/0012/909-131044-0012-0057.flac,5.161688721531187,,5.23,5.32,5.32,5.4,909,909-131044-0012-0017,T,4,9
39,,P,AE,,4481/17498/0014/4481-17498-0014-0106.flac,4481/17498/0014/4481-17498-0014-0107.flac,9.531410393659634,,9.79,9.9,9.9,10.01,4481,4481-17498-0014-0027,T,16,23
40,,K,AH,,8630/305213/0006/8630-305213-0006-0035.flac,8630/305213/0006/8630-305213-0006-0036.flac,3.95041844459746,,3.99,4.04,4.04,4.08,8630,8630-305213-0006-0008,T,2,5
41,,P,AW,,909/131041/0010/909-131041-0010-0129.flac,909/131041/0010/909-131041-0010-0130.flac,11.241165240215086,,11.34,11.46,11.46,11.62,909,909-131041-0010-0028,T,6,13
42,,K,AH,,4481/17498/0034/4481-17498-0034-0155.flac,4481/17498/0034/4481-17498-0034-0156.flac,15.123046420419376,,15.19,15.33,15.33,15.42,4481,4481-17498-0034-0039,T,4,12
43,,T,AH,,909/131045/0018/909-131045-0018-0001.flac,909/131045/0018/909-131045-0018-0002.flac,0.002853716246257798,,0.13,0.21,0.21,0.27,909,909-131045-0018-0000,T,7,12
44,,T,AH,,4481/17498/0040/4481-17498-0040-0106.flac,4481/17498/0040/4481-17498-0040-0107.flac,8.057059981261922,,8.14,8.17,8.17,8.25,4481,4481-17498-0040-0027,T,5,7
45,,P,AH,,8630/305212/0040/8630-305212-0040-0013.flac,8630/305212/0040/8630-305212-0040-0014.flac,1.4948381572288658,,1.54,1.65,1.65,1.7,8630,8630-305212-0040-0003,T,2,9
46,,K,AH,,4297/13009/0021/4297-13009-0021-0037.flac,4297/13009/0021/4297-13009-0021-0038.flac,3.105476043848721,,3.19,3.27,3.27,3.31,4297,4297-13009-0021-0011,T,5,10
47,,K,AH,,4297/13006/0043/4297-13006-0043-0064.flac,4297/13006/0043/4297-13006-0043-0065.flac,5.311406204996208,,5.4,5.46,5.46,5.5,4297,4297-13006-0043-0019,T,5,9
48,,K,AA,,909/131045/0001/909-131045-0001-0094.flac,909/131045/0001/909-131045-0001-0095.flac,7.86637147820908,,7.93,8.11,8.11,8.25,909,909-131045-0001-0018,T,3,15
49,,T,AH,,4297/13009/0054/4297-13009-0054-0069.flac,4297/13009/0054/4297-13009-0054-0070.flac,6.4261698857506335,,6.51,6.57,6.57,6.67,4297,4297-13009-0054-0018,T,5,8
50,,K,IY,,8630/305213/0001/8630-305213-0001-0106.flac,8630/305213/0001/8630-305213-0001-0107.flac,10.379225395154531,,10.47,10.6,10.6,10.68,8630,8630-305213-0001-0026,T,5,13
51,,P,OW,,909/131045/0041/909-131045-0041-0061.flac,909/131045/0041/909-131045-0041-0062.flac,4.881168419548808,,4.97,5.11,5.11,5.23,909,909-131045-0041-0015,T,5,14
52,,K,AH,,4297/13009/0013/4297-13009-0013-0064.flac,4297/13009/0013/4297-13009-0013-0065.flac,5.814378771653884,,5.9,5.98,5.98,6.01,4297,4297-13009-0013-0019,T,5,10
53,,T,IH,,4297/13006/0007/4297-13006-0007-0028.flac,4297/13006/0007/4297-13006-0007-0029.flac,2.4065851475211892,,2.51,2.56,2.56,2.6,4297,4297-13006-0007-0007,T,6,9
54,,K,UH,,103/1240/0013/103-1240-0013-0168.flac,103/1240/0013/103-1240-0013-0169.flac,13.684844173332637,,13.8,13.89,13.89,13.94,103,103-1240-0013-0048,T,7,12
55,,P,AA,,4297/13006/0030/4297-13006-0030-0135.flac,4297/13006/0030/4297-13006-0030-0136.flac,14.727282598949747,,14.81,14.88,14.88,14.93,4297,4297-13006-0030-0041,T,5,9
56,,T,IH,,909/131045/0009/909-131045-0009-0022.flac,909/131045/0009/909-131045-0009-0023.flac,1.7561041972805795,,1.83,1.93,1.93,1.99,909,909-131045-0009-0006,T,4,10
57,,K,AH,,909/131041/0003/909-131041-0003-0056.flac,909/131041/0003/909-131041-0003-0057.flac,4.917467459717334,,5.02,5.11,5.11,5.15,909,909-131041-0003-0015,T,6,12
58,,T,UW,,909/131045/0010/909-131045-0010-0017.flac,909/131045/0010/909-131045-0010-0018.flac,1.6293125016812386,,1.67,1.74,1.74,1.83,909,909-131045-0010-0004,T,2,6
59,,K,AH,,909/131045/0026/909-131045-0026-0126.flac,909/131045/0026/909-131045-0026-0127.flac,10.76973786108717,,10.91,11.02,11.02,11.11,909,909-131045-0026-0031,T,8,15
60,,K,AH,,4481/17498/0005/4481-17498-0005-0154.flac,4481/17498/0005/4481-17498-0005-0155.flac,11.207767593388011,,11.27,11.32,11.32,11.39,4481,4481-17498-0005-0035,T,3,7
61,,T,UH,,103/1240/0046/103-1240-0046-0084.flac,103/1240/0046/103-1240-0046-0085.flac,6.254812009989466,,6.37,6.44,6.44,6.52,103,103-1240-0046-0029,T,7,11
62,,T,IH,,4297/13009/0064/4297-13009-0064-0120.flac,4297/13009/0064/4297-13009-0064-0121.flac,10.126936493978347,,10.18,10.24,10.24,10.29,4297,4297-13009-0064-0026,T,3,7
63,,T,IH,,4297/13006/0005/4297-13006-0005-0092.flac,4297/13006/0005/4297-13006-0005-0093.flac,7.1754403011725625,,7.25,7.31,7.31,7.35,4297,4297-13006-0005-0021,T,4,8
64,,P,IY,,909/131044/0009/909-131044-0009-0030.flac,909/131044/0009/909-131044-0009-0031.flac,2.291877417226435,,2.36,2.47,2.47,2.53,909,909-131044-0009-0007,T,4,11
65,,T,UW,,4297/13009/0017/4297-13009-0017-0092.flac,4297/13009/0017/4297-13009-0017-0093.flac,8.504616835749859,,8.61,8.69,8.69,8.74,4297,4297-13009-0017-0019,T,6,11
66,,T,AH,,909/131045/0018/909-131045-0018-0063.flac,909/131045/0018/909-131045-0018-0064.flac,5.002438269635362,,5.05,5.08,5.08,5.15,909,909-131045-0018-0017,T,2,4
67,,T,IH,,103/1240/0052/103-1240-0052-0051.flac,103/1240/0052/103-1240-0052-0052.flac,3.4188959201756273,,3.5,3.53,3.53,3.57,103,103-1240-0052-0011,T,5,6
68,,K,OW,,909/131045/0014/909-131045-0014-0020.flac,909/131045/0014/909-131045-0014-0021.flac,1.4311798588284543,,1.51,1.61,1.61,1.72,909,909-131045-0014-0005,T,4,11
69,,T,IH,,103/1241/0005/103-1241-0005-0070.flac,103/1241/0005/103-1241-0005-0071.flac,5.149407904617206,,5.29,5.36,5.36,5.41,103,103-1241-0005-0023,T,8,13
70,,K,OW,,4481/17499/0020/4481-17499-0020-0027.flac,4481/17499/0020/4481-17499-0020-0028.flac,2.235355717361088,,2.33,2.47,2.47,2.55,4481,4481-17499-0020-0008,T,5,14
71,,T,AH,,8630/305213/0021/8630-305213-0021-0014.flac,8630/305213/0021/8630-305213-0021-0015.flac,1.1763056501652376,,1.32,1.38,1.38,1.43,8630,8630-305213-0021-0005,T,8,12
72,,T,UW,,4297/13009/0016/4297-13009-0016-0084.flac,4297/13009/0016/4297-13009-0016-0085.flac,6.247776645825014,,6.34,6.41,6.41,6.47,4297,4297-13009-0016-0020,T,5,10
73,,T,IH,,4481/17498/0000/4481-17498-0000-0129.flac,4481/17498/0000/4481-17498-0000-0130.flac,10.75841758023386,,10.87,10.94,10.94,11.0,4481,4481-17498-0000-0038,T,6,11
74,,T,AH,,103/1241/0024/103-1241-0024-0103.flac,103/1241/0024/103-1241-0024-0104.flac,7.5295777512287465,,7.62,7.68,7.68,7.73,103,103-1241-0024-0030,T,5,9
75,,K,AH,,4481/17499/0017/4481-17499-0017-0091.flac,4481/17499/0017/4481-17499-0017-0092.flac,6.850827929785948,,6.91,7.01,7.01,7.07,4481,4481-17499-0017-0023,T,3,9
76,,T,AH,,4481/17498/0029/4481-17498-0029-0081.flac,4481/17498/0029/4481-17498-0029-0082.flac,6.928050174435778,,7.12,7.18,7.18,7.26,4481,4481-17498-0029-0017,T,11,15
77,,K,AH,,4481/17498/0021/4481-17498-0021-0104.flac,4481/17498/0021/4481-17498-0021-0105.flac,10.385996763370041,,10.45,10.52,10.52,10.58,4481,4481-17498-0021-0028,T,4,8
78,,K,AH,,103/1240/0003/103-1240-0003-0128.flac,103/1240/0003/103-1240-0003-0129.flac,10.909316815896856,,11.05,11.11,11.11,11.15,103,103-1240-0003-0037,T,8,12
79,,T,IH,,909/131045/0017/909-131045-0017-0123.flac,909/131045/0017/909-131045-0017-0124.flac,11.604161453356019,,11.78,11.85,11.85,11.9,909,909-131045-0017-0033,T,10,15
80,,T,AH,,4481/17499/0011/4481-17499-0011-0115.flac,4481/17499/0011/4481-17499-0011-0116.flac,8.75212895734654,,8.86,8.9,8.9,8.97,4481,4481-17499-0011-0028,T,6,9
81,,T,EH,,8630/305213/0049/8630-305213-0049-0051.flac,8630/305213/0049/8630-305213-0049-0052.flac,5.01163546391406,,5.07,5.21,5.21,5.28,8630,8630-305213-0049-0014,T,3,12
82,,K,AH,,4297/13009/0034/4297-13009-0034-0095.flac,4297/13009/0034/4297-13009-0034-0096.flac,8.531740819779365,,8.61,8.69,8.69,8.73,4297,4297-13009-0034-0026,T,4,9
83,,P,ER,,8630/305213/0046/8630-305213-0046-0069.flac,8630/305213/0046/8630-305213-0046-0070.flac,8.885088266506136,,8.95,9.03,9.03,9.09,8630,8630-305213-0046-0014,T,4,9
84,,T,UW,,4297/13009/0024/4297-13009-0024-0076.flac,4297/13009/0024/4297-13009-0024-0077.flac,6.350856803116378,,6.42,6.55,6.55,6.76,4297,4297-13009-0024-0022,T,4,12
85,,T,AW,,8630/305212/0020/8630-305212-0020-0164.flac,8630/305212/0020/8630-305212-0020-0165.flac,14.55863175859192,,14.71,14.82,14.82,15.03,8630,8630-305212-0020-0041,T,9,16
86,,T,UW,,103/1240/0013/103-1240-0013-0050.flac,103/1240/0013/103-1240-0013-0051.flac,3.3864122334915145,,3.51,3.58,3.58,3.68,103,103-1240-0013-0015,T,7,12
87,,K,AA,,8630/305213/0026/8630-305213-0026-0035.flac,8630/305213/0026/8630-305213-0026-0036.flac,3.571296988874566,,3.67,3.76,3.76,3.9,8630,8630-305213-0026-0010,T,6,11
88,,P,AE,,4481/17499/0024/4481-17499-0024-0068.flac,4481/17499/0024/4481-17499-0024-0069.flac,6.011827185890552,,6.07,6.2,6.2,6.32,4481,4481-17499-0024-0017,T,3,11
89,,P,AA,,4297/13006/0036/4297-13006-0036-0020.flac,4297/13006/0036/4297-13006-0036-0021.flac,2.913164664535895,,2.97,3.09,3.09,3.14,4297,4297-13006-0036-0004,T,3,11
90,,T,AH,,4297/13009/0043/4297-13009-0043-0046.flac,4297/13009/0043/4297-13009-0043-0047.flac,4.344522458941456,,4.44,4.53,4.53,4.58,4297,4297-13009-0043-0016,T,5,11
91,,K,OW,,8630/305213/0021/8630-305213-0021-0038.flac,8630/305213/0021/8630-305213-0021-0039.flac,4.606133572435318,,4.72,4.83,4.83,4.99,8630,8630-305213-0021-0012,T,7,13
92,,T,AH,,103/1240/0012/103-1240-0012-0057.flac,103/1240/0012/103-1240-0012-0058.flac,5.148646912227446,,5.25,5.29,5.29,5.34,103,103-1240-0012-0015,T,6,8
93,,K,OW,,103/1241/0011/103-1241-0011-0059.flac,103/1241/0011/103-1241-0011-0060.flac,4.862530376169814,,4.99,5.12,5.12,5.2,103,103-1241-0011-0013,T,7,16
94,,P,AE,,909/131045/0041/909-131045-0041-0073.flac,909/131045/0041/909-131045-0041-0074.flac,5.891828297332003,,5.97,6.12,6.12,6.25,909,909-131045-0041-0019,T,4,14
95,,K,EY,,103/1240/0047/103-1240-0047-0012.flac,103/1240/0047/103-1240-0047-0013.flac,1.0352042984122698,,1.11,1.22,1.22,1.32,103,103-1240-0047-0004,T,4,11
96,,K,AH,,103/1241/0017/103-1241-0017-0090.flac,103/1241/0017/103-1241-0017-0091.flac,7.24927790071911,,7.33,7.43,7.43,7.49,103,103-1241-0017-0022,T,5,11
97,,P,AA,,4297/13006/0027/4297-13006-0027-0032.flac,4297/13006/0027/4297-13006-0027-0033.flac,3.5802582811705577,,3.77,3.86,3.86,3.9,4297,4297-13006-0027-0008,T,11,17
98,,T,IH,,103/1240/0020/103-1240-0020-0152.flac,103/1240/0020/103-1240-0020-0153.flac,12.647438757074204,,12.79,12.85,12.85,12.88,103,103-1240-0020-0042,T,8,12
99,,T,EH,,909/131041/0028/909-131041-0028-0044.flac,909/131041/0028/909-131041-0028-0045.flac,3.532391385405603,,3.59,3.67,3.67,3.74,909,909-131041-0028-0012,T,3,8
100,,P,AE,,103/1240/0007/103-1240-0007-0035.flac,103/1240/0007/103-1240-0007-0036.flac,2.7517092535180194,,2.97,3.07,3.07,3.2,103,103-1240-0007-0011,T,13,19
101,,T,AE,,103/1240/0025/103-1240-0025-0107.flac,103/1240/0025/103-1240-0025-0108.flac,8.681390535474758,,8.75,8.9,8.9,8.94,103,103-1240-0025-0031,T,4,13
102,,K,AH,,909/131044/0014/909-131044-0014-0128.flac,909/131044/0014/909-131044-0014-0129.flac,10.780467613343298,,10.84,10.91,10.91,10.97,909,909-131044-0014-0030,T,3,8
103,,T,UW,,8630/305213/0047/8630-305213-0047-0052.flac,8630/305213/0047/8630-305213-0047-0053.flac,4.56729045135988,,4.66,4.73,4.73,4.86,8630,8630-305213-0047-0012,T,5,10
104,,T,AH,,4481/17498/0030/4481-17498-0030-0045.flac,4481/17498/0030/4481-17498-0030-0046.flac,3.8416531380606838,,3.96,4.0,4.0,4.05,4481,4481-17498-0030-0010,T,7,9
105,,T,UW,,909/131041/0005/909-131041-0005-0096.flac,909/131041/0005/909-131041-0005-0097.flac,7.904326634305747,,8.02,8.13,8.13,8.19,909,909-131041-0005-0020,T,7,14
106,,K,UH,,909/131045/0040/909-131045-0040-0134.flac,909/131045/0040/909-131045-0040-0135.flac,12.185454147634342,,12.27,12.35,12.35,12.4,909,909-131045-0040-0032,T,5,10
107,,K,AH,,103/1241/0000/103-1241-0000-0036.flac,103/1241/0000/103-1241-0000-0037.flac,4.831654442631269,,4.91,5.01,5.01,5.11,103,103-1241-0000-0007,T,4,11
108,,K,AH,,909/131041/0008/909-131041-0008-0158.flac,909/131041/0008/909-131041-0008-0159.flac,14.621663699487884,,14.7,14.79,14.79,14.84,909,909-131041-0008-0043,T,4,10
109,,K,UH,,8630/305213/0024/8630-305213-0024-0070.flac,8630/305213/0024/8630-305213-0024-0071.flac,6.836751799723987,,6.9,6.99,6.99,7.05,8630,8630-305213-0024-0021,T,3,9
110,,T,AH,,8630/305213/0025/8630-305213-0025-0010.flac,8630/305213/0025/8630-305213-0025-0011.flac,1.2482754657718502,,1.29,1.35,1.35,1.42,8630,8630-305213-0025-0003,T,2,6
111,,K,AA,,909/131045/0034/909-131045-0034-0125.flac,909/131045/0034/909-131045-0034-0126.flac,10.10274160303381,,10.17,10.31,10.31,10.39,909,909-131045-0034-0032,T,4,12
112,,P,IY,,909/131041/0020/909-131041-0020-0011.flac,909/131041/0020/909-131041-0020-0012.flac,0.8685850937747128,,1.06,1.15,1.15,1.23,909,909-131041-0020-0004,T,11,17
113,,T,IH,,103/1241/0002/103-1241-0002-0075.flac,103/1241/0002/103-1241-0002-0076.flac,5.352952447748225,,5.45,5.51,5.51,5.56,103,103-1241-0002-0020,T,6,9
114,,T,AH,,8630/305213/0031/8630-305213-0031-0048.flac,8630/305213/0031/8630-305213-0031-0049.flac,4.569798281430062,,4.63,4.68,4.68,4.73,8630,8630-305213-0031-0014,T,3,6
115,,K,OW,,4297/13009/0063/4297-13009-0063-0017.flac,4297/13009/0063/4297-13009-0063-0018.flac,1.1920239520773173,,1.25,1.36,1.36,1.43,4297,4297-13009-0063-0004,T,3,10
116,,T,IH,,8630/305213/0034/8630-305213-0034-0009.flac,8630/305213/0034/8630-305213-0034-0010.flac,0.7255619581009609,,0.79,0.82,0.82,0.89,8630,8630-305213-0034-0003,T,4,5
117,,T,EH,,4481/17498/0017/4481-17498-0017-0028.flac,4481/17498/0017/4481-17498-0017-0029.flac,3.8091732886777123,,3.9,4.04,4.04,4.14,4481,4481-17498-0017-0008,T,5,14
118,,P,AA,,4297/13006/0029/4297-13006-0029-0135.flac,4297/13006/0029/4297-13006-0029-0136.flac,13.795741155809463,,13.83,13.94,13.94,13.98,4297,4297-13006-0029-0038,T,2,9
119,,T,IH,,103/1240/0009/103-1240-0009-0106.flac,103/1240/0009/103-1240-0009-0107.flac,7.827132388907731,,7.88,7.93,7.93,7.99,103,103-1240-0009-0028,T,3,6
120,,T,AH,,909/131041/0007/909-131041-0007-0016.flac,909/131041/0007/909-131041-0007-0017.flac,1.4293465807226098,,1.49,1.56,1.56,1.61,909,909-131041-0007-0005,T,3,8
121,,T,AH,,4297/13006/0035/4297-13006-0035-0010.flac,4297/13006/0035/4297-13006-0035-0011.flac,0.9361394983850633,,1.03,1.1,1.1,1.15,4297,4297-13006-0035-0004,T,5,10
122,,P,ER,,909/131044/0021/909-131044-0021-0108.flac,909/131044/0021/909-131044-0021-0109.flac,9.441691246305366,,9.57,9.65,9.65,9.72,909,909-131044-0021-0028,T,8,13
123,,T,IH,,909/131045/0033/909-131045-0033-0049.flac,909/131045/0033/909-131045-0033-0050.flac,4.674011788507231,,4.74,4.84,4.84,4.89,909,909-131045-0033-0011,T,4,10
124,,T,IH,,909/131044/0010/909-131044-0010-0013.flac,909/131044/0010/909-131044-0010-0014.flac,1.0892117601741036,,1.15,1.22,1.22,1.27,909,909-131044-0010-0003,T,3,8
125,,T,EY,,103/1240/0026/103-1240-0026-0026.flac,103/1240/0026/103-1240-0026-0027.flac,2.8411700469085712,,2.96,3.05,3.05,3.14,103,103-1240-0026-0008,T,7,13
126,,T,UW,,8630/305212/0022/8630-305212-0022-0137.flac,8630/305212/0022/8630-305212-0022-0138.flac,15.124968195963815,,15.21,15.27,15.27,15.34,8630,8630-305212-0022-0038,T,5,9
127,,P,UW,,8630/305213/0021/8630-305213-0021-0018.flac,8630/305213/0021/8630-305213-0021-0019.flac,1.3879991624328392,,1.5,1.62,1.62,1.82,8630,8630-305213-0021-0007,T,7,14
128,,K,Y,,4481/17498/0021/4481-17498-0021-0068.flac,4481/17498/0021/4481-17498-0021-0069.flac,6.379218173262579,,6.46,6.56,6.56,6.62,4481,4481-17498-0021-0019,T,5,11
129,,K,AH,,909/131044/0018/909-131044-0018-0050.flac,909/131044/0018/909-131044-0018-0051.flac,4.481404999006043,,4.61,4.69,4.69,4.72,909,909-131044-0018-0011,T,8,13
130,,T,IH,,103/1241/0007/103-1241-0007-0112.flac,103/1241/0007/103-1241-0007-0113.flac,9.338782129874298,,9.37,9.44,9.44,9.5,103,103-1241-0007-0030,T,1,6
131,,P,ER,,909/131045/0036/909-131045-0036-0068.flac,909/131045/0036/909-131045-0036-0069.flac,5.001197123746032,,5.1,5.23,5.23,5.34,909,909-131045-0036-0016,T,6,14
132,,K,AO,,4481/17498/0011/4481-17498-0011-0018.flac,4481/17498/0011/4481-17498-0011-0019.flac,1.5258754397012793,,1.59,1.69,1.69,1.84,4481,4481-17498-0011-0004,T,4,10
133,,T,AH,,103/1240/0043/103-1240-0043-0129.flac,103/1240/0043/103-1240-0043-0130.flac,9.33004111619688,,9.44,9.51,9.51,9.55,103,103-1240-0043-0038,T,6,11
134,,T,UW,,909/131041/0025/909-131041-0025-0136.flac,909/131041/0025/909-131041-0025-0137.flac,10.663672080369347,,10.78,10.83,10.83,10.89,909,909-131041-0025-0034,T,7,10
135,,P,AH,,909/131045/0029/909-131045-0029-0069.flac,909/131045/0029/909-131045-0029-0070.flac,5.8041648214487385,,5.88,5.96,5.96,6.01,909,909-131045-0029-0017,T,4,9
136,,P,AA,,8630/305212/0020/8630-305212-0020-0007.flac,8630/305212/0020/8630-305212-0020-0008.flac,0.7128686894992442,,0.8,0.92,0.92,1.02,8630,8630-305212-0020-0003,T,5,12
